Country,Name,Surname
JPN,Go,Yamamoto
JPN,Noriaki,Kasai
JPN,Junshiro,Kobayashi
JPN,Keiichi,Sato
KAZ,Sabirzhan,Muminov
TUR,Fatih Arda,Ipcioglu
KAZ,Svyatoslav,Nazarenko
KOR,Heung,Chul Choi
FIN,Tomas,Kuisma
POL,Klemens,Joniak
POL,Aleksander,Zniszczoł
USA,Erik,Belshaw
KAZ,Sergey,Tkachenko
SLO,Ziga,Jancar
FRA,Jules,Chervet
ROU,Daniel Andrei,Cacina
ROU,Mihnea Alexandru,Spulber
CZE,David,Rygl
EST,Andero,Kapp
USA,Decker,Dean
GER,Ben,Bayer
FIN,Jarkko,Maatta
TUR,Muhammed Ali,Bedir
SLO,Zak,Mogel
CAN,Mackenzie,Boyd-Clowes
UKR,Vitaliy,Kalinichenko
GER,Luca,Roth
UKR,Yevhen,Marusiak
SUI,Killian,Peier
USA,Tate,Frantz
USA,Andrew,Urlaub
SUI,Felix,Trunz
SUI,Juri,Kesseli
SVK,Hektor,Kapustik
GER,Karl,Geiger
NOR,Isak Andreas,Langmo
ITA,Giovanni,Bresadola
SUI,Simon,Ammann
CZE,Roman,Koudelka
ITA,Alex,Insam
POL,Dawid,Kubacki
JPN,Sakutaro,Kobayashi
SLO,Rok,Oblak
USA,Kevin,Bickner
SUI,Sandro,Hauswirth
NOR,Benjamin,Oestvold
JPN,Tomofumi,Naito
POL,Maciej,Kot
JPN,Yukiya,Sato
AUT,Maximilian,Ortner
NOR,Halvor Egner,Granerud
AUT,Jonas,Schuster
SLO,Timi,Zajc
NOR,Marius,Lindvik
JPN,Naoki,Nakamura
NOR,Johann Andre,Forfang
NOR,Kristoffer Eriksen,Sundal
FRA,Valentin,Foubert
POL,Kacper,Tomasiak
AUT,Manuel,Fettner
AUT,Stefan,Kraft
AUT,Stephan,Embacher
AUT,Daniel,Tschofenig
GER,Philipp,Raimund
AUT,Jan,Hoerl
JPN,Ren,Nikaido
JPN,Ryoyu,Kobayashi
SLO,Domen,Prevc
