Position,Country,Name,Surname,Points
1,SLO,Domen,Prevc,1214
2,JPN,Ryoyu,Kobayashi,822
3,SLO,Anze,Lanisek,717
4,JPN,Ren,Nikaido,661
5,AUT,Jan,Hoerl,625
5,GER,Philipp,Raimund,625
7,AUT,Daniel,Tschofenig,605
8,GER,Felix,Hoffmann,576
9,AUT,Stephan,Embacher,543
10,AUT,Stefan,Kraft,462
11,AUT,Manuel,Fettner,322
12,POL,Kacper,Tomasiak,320
13,BUL,Vladimir,Zografski,288
14,FRA,Valentin,Foubert,265
14,NOR,Kristoffer Eriksen,Sundal,265
16,NOR,Johann Andre,Forfang,252
17,JPN,Naoki,Nakamura,215
18,NOR,Marius,Lindvik,213
19,SLO,Timi,Zajc,203
20,AUT,Jonas,Schuster,202
21,GER,Pius,Paschke,170
22,NOR,Halvor Egner,Granerud,162
23,SUI,Gregor,Deschwanden,153
24,POL,Kamil,Stoch,148
25,AUT,Maximilian,Ortner,129
26,USA,Jason,Colby,128
27,FIN,Antti,Aalto,114
28,POL,Piotr,Zyla,96
29,FIN,Niko,Kytosaho,80
29,EST,Artti,Aigro,80
31,JPN,Yukiya,Sato,67
32,POL,Maciej,Kot,63
33,JPN,Tomofumi,Naito,62
34,NOR,Benjamin,Oestvold,60
35,GER,Andreas,Wellinger,57
36,SUI,Sandro,Hauswirth,56
37,POL,Pawel,Wasek,54
38,USA,Kevin,Bickner,47
39,SLO,Rok,Oblak,42
40,JPN,Sakutaro,Kobayashi,37
41,POL,Dawid,Kubacki,32
42,KAZ,Ilya,Miziernykh,31
43,KAZ,Danil,Vassilyev,28
44,AUT,Clemens,Aigner,24
44,ITA,Alex,Insam,24
44,CZE,Roman,Koudelka,24
47,SUI,Simon,Ammann,18
48,NOR,Robin,Pedersen,16
49,ITA,Giovanni,Bresadola,15
50,NOR,Isak Andreas,Langmo,13
51,GER,Karl,Geiger,12
52,SVK,Hektor,Kapustik,11
53,AUT,Markus,Mueller,10
54,SUI,Juri,Kesseli,9
55,SUI,Felix,Trunz,8
56,SUI,Yanick,Wasser,5
56,USA,Andrew,Urlaub,5
56,USA,Tate,Frantz,5
59,SUI,Killian,Peier,4
60,UKR,Yevhen,Marusiak,3
60,GER,Luca,Roth,3
62,UKR,Vitaliy,Kalinichenko,1
63,CAN,Mackenzie,Boyd-Clowes,1
63,SLO,Zak,Mogel,1
